Record_ID,Date,Factory_Location,Vehicle_Model,Vehicles_Produced,Vehicles_Delivered,Battery_Output_GWh,Autopilot_Active_Vehicles_Thousands,Charging_Stations_Installed,Energy_Storage_Deployed_MWh,Software_Update_Releases,Manufacturing_Automation_Index,Factory_Efficiency_Index,EV_Revenue_MillionUSD,Energy_Business_Revenue_MillionUSD,Operating_Margin_Percent
1,2020-01-02,Texas,Model S,5828,7190,28.27,680,15,74,1,86.35,65.4,9913.55,1056.59,20.16
2,2020-01-03,Shanghai,Model Y,8939,6187,13.58,251,16,361,2,63.94,85.63,11142.57,304.68,19.74
3,2020-01-04,Fremont,Model Y,2508,3363,35.78,1210,42,107,3,69.29,85.73,5838.14,1537.96,22.35
4,2020-01-05,Shanghai,Model S,1009,812,50.84,716,95,48,1,95.1,90.26,3803.95,185.98,8.96
5,2020-01-06,Fremont,Cybertruck,5639,3776,38.1,462,55,167,5,76.32,81.25,7858.41,848.46,22.6
6,2020-01-07,Fremont,Model Y,6940,2912,6.64,573,12,702,1,67.84,98.16,7619.05,2744.64,9.57
7,2020-01-08,Texas,Model X,4026,3314,76.08,225,30,675,5,64.73,84.31,8563.3,702.78,12.75
8,2020-01-09,Berlin,Model 3,7960,2254,45.43,1061,83,535,1,77.67,96.42,7759.43,1214.29,17.35
9,2020-01-10,Fremont,Model S,1806,2613,51.68,1194,2,35,4,82.15,92.35,8623.65,3699.79,25.43
10,2020-01-11,Fremont,Model Y,6270,7273,41.93,80,68,548,6,69.66,88.58,7920.21,1571.9,6.31
11,2020-01-12,Fremont,Model 3,869,1620,77.54,130,13,606,2,64.64,82.51,1851.95,1184.88,15.33
12,2020-01-13,Texas,Model X,1513,3759,20.64,1161,76,365,6,88.52,70.41,2027.92,1981.56,19.98
13,2020-01-14,Texas,Model 3,1779,6958,6.44,1401,108,393,2,68.87,70.92,9268.13,1945.8,11.87
14,2020-01-15,Berlin,Model S,4792,7700,13.99,171,31,190,4,97.58,74.01,2095.01,2880.11,29.93
15,2020-01-16,Shanghai,Model X,6428,5886,55.55,1207,58,451,4,78.31,95.3,11836.26,2793.11,6.09
16,2020-01-17,Berlin,Cybertruck,1846,3039,31.97,731,39,675,2,93.81,80.14,1444.9,322.31,12.36
17,2020-01-18,Texas,Cybertruck,5986,7939,47.37,332,24,368,6,85.97,97.91,4659.43,864.37,19.09
18,2020-01-19,Texas,Model Y,1009,6717,62.64,380,43,583,0,96.39,65.35,10559.04,2586.8,26.63
19,2020-01-20,Berlin,Model Y,4934,3661,29.02,743,110,759,4,80.42,78.07,10427.22,1908.51,16.61
20,2020-01-21,Berlin,Cybertruck,3658,2597,48.98,1416,23,55,4,77.38,82.5,3520.51,2878.26,12.58
21,2020-01-22,Shanghai,Model X,3904,3017,62.91,403,22,561,0,81.96,73.86,6563.54,3862.12,14.98
22,2020-01-23,Shanghai,Model Y,7713,5099,19.92,642,70,604,1,60.66,65.64,7597.45,135.67,20.81
23,2020-01-24,Berlin,Cybertruck,2406,1815,24.97,366,82,546,0,70.29,83.98,9021.18,1384.19,16.71
24,2020-01-25,Shanghai,Model S,6959,5248,39.58,1416,18,182,1,60.19,81.95,2261.05,1799.62,28.51
25,2020-01-26,Shanghai,Model 3,1231,3891,57.97,1455,21,32,2,90.23,73.48,10052.42,3684.94,8.51
26,2020-01-27,Berlin,Cybertruck,5209,706,37.49,1175,106,538,1,73.14,65.3,8373.02,1902.22,26
27,2020-01-28,Texas,Model 3,1092,2250,17.56,245,36,859,1,85.56,86.39,10553.62,399.21,19.05
28,2020-01-29,Shanghai,Model S,7444,7703,71.63,415,52,209,5,65.72,75.91,11244.01,766.41,5.63
29,2020-01-30,Shanghai,Model Y,1712,4713,7.58,1256,68,272,6,92.82,87.09,7388.69,3634.59,22.9
30,2020-01-31,Texas,Cybertruck,3824,5447,45.29,349,107,553,5,92.73,66.47,4279.74,624.92,14.99
31,2020-02-01,Shanghai,Model Y,7003,8444,16.72,1230,87,395,6,72.27,75.77,1452.11,2040.65,22.56
32,2020-02-02,Shanghai,Model X,4767,1351,35.17,1084,49,262,5,71.64,90.36,6137.02,2209.18,9.51
33,2020-02-03,Shanghai,Model X,1540,2901,77.38,443,8,88,2,91.12,83.86,10254.75,966.19,24.19
34,2020-02-04,Berlin,Model Y,7397,2923,78.08,1226,2,348,3,71.87,86.31,4470.03,3368.9,23.02
35,2020-02-05,Shanghai,Model 3,4226,3968,57.13,1388,11,615,0,83.07,80.54,3344.96,1445.4,5.24
36,2020-02-06,Fremont,Model Y,1686,1204,18.23,1299,43,106,3,81.72,80.6,8806.07,1788.39,15.35
37,2020-02-07,Texas,Model 3,1257,7731,45.9,989,17,149,5,66.38,72.01,4714.89,1574.15,26.22
38,2020-02-08,Berlin,Model 3,3809,6810,67.66,1163,15,145,4,67.19,68.55,6283.82,1255.51,28.92
39,2020-02-09,Berlin,Model 3,6513,6792,42.9,422,17,691,3,71.73,80.9,8475.51,2841.2,26.38
40,2020-02-10,Fremont,Model Y,1842,2842,18.3,1007,82,131,6,79.5,68.56,4670.25,341.64,24.16
41,2020-02-11,Berlin,Model S,1617,4605,23.92,1186,55,155,0,79.35,66.03,4611.63,879.94,15.26
42,2020-02-12,Shanghai,Model X,8362,3190,79.87,481,56,360,5,80.75,92.93,8072.09,1578.28,15.32
43,2020-02-13,Shanghai,Model S,1002,7659,74.12,304,33,174,3,71.14,96.76,7555.14,1805.15,10.8
44,2020-02-14,Texas,Model Y,552,5786,58.41,635,73,227,5,88.9,87.38,6709.81,3849.03,20.62
45,2020-02-15,Fremont,Cybertruck,6067,4404,74.46,621,27,44,2,81.82,77.23,8919.27,3170.28,17.82
46,2020-02-16,Shanghai,Model X,8449,3428,31.93,109,34,268,6,89.56,86.92,9725.01,3480.66,13.59
47,2020-02-17,Berlin,Model 3,8004,8137,44.45,1191,16,589,1,79.49,77.6,4557.65,3388.99,25.7
48,2020-02-18,Shanghai,Model X,7828,1857,65.71,335,62,464,4,83.19,77.27,3817.78,236.72,14.2
49,2020-02-19,Berlin,Cybertruck,6244,3320,39.99,381,32,171,2,73.59,65.01,7146.01,1917.67,10.18
50,2020-02-20,Berlin,Model 3,5334,6910,65.61,1331,106,590,2,87.77,69.82,522.94,2449.71,15.51
51,2020-02-21,Berlin,Model Y,8660,5575,60.47,731,117,893,1,69.61,67.72,8034.44,3072,23.34
52,2020-02-22,Berlin,Cybertruck,7076,3481,36.26,565,56,643,0,81.55,96.92,11126.36,869.14,17.49
53,2020-02-23,Shanghai,Model 3,8872,4569,42.82,864,20,371,4,71.62,87.48,9507.35,839,8.19
